,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,user_name,sample_date,age_range,pronunciation,gender
0,253,155.865612648,0.102348318262,-0.633101233905,134.0,134.0,59.5134232983,16.0,280.0,112.0,204.0,92.0,1028,20100710,Adult,American,Male
1,359,151.266480966,-0.380817929097,-1.65782129774,210.0,12.0,104.987233841,12.0,290.0,20.0,232.0,212.0,1337ad,20170321,Adult,Other,Female
2,447,179.146905295,-1.13162517261,-0.317741016973,206.0,12.0,84.9234308502,12.0,268.0,189.0,236.0,47.0,1337ad,20170321,Adult,Other,Female
3,387,144.294573643,-0.246470728144,-1.81168055823,206.0,30.0,103.449777084,12.0,286.0,30.0,232.0,202.0,1337ad,20170321,Unknown,Other,not_specified
4,410,52.3219512195,1.45759012242,0.458230849759,16.0,16.0,66.218365709,14.0,224.0,16.0,20.0,4.0,1snoke,20120412,Adult,American,Male
5,607,167.405820977,0.0989493376907,-1.32933405826,136.0,100.0,84.6865280605,28.0,298.0,100.0,260.0,160.0,23yipikaye,20100807,Adult,Other,Male
8,327,165.480122324,-0.855643146349,-0.474470145508,184.0,190.0,43.8162559306,24.0,238.0,152.0,196.0,44.0,314piwm,20130617,Youth,American,Male
9,502,94.03187251,0.249277671889,1.07267597881,118.0,24.0,55.0051134698,10.6666666667,292.0,24.0,128.0,104.0,AJN,20131002,Adult,Other,Male
10,350,84.0438095238,-0.591181697364,-0.83178201585,99.0,12.0,45.4915096013,12.0,172.0,14.0,114.0,100.0,AT,20130718,Adult,British,Male
11,237,158.221080508,-0.463387485371,-0.874291678024,190.0,110.0,77.3241624889,16.0,286.0,110.0,222.0,112.0,Aaron,20080318,Adult,Other,Male
12,330,157.121445864,-0.0399188527672,-0.756862399051,132.0,204.0,66.6046614585,20.0,296.0,120.0,214.0,94.0,Aaron,20080318,Adult,Other,Male
13,261,170.378997371,-0.300173867591,-0.341244799587,194.0,130.0,65.1483270165,16.0,294.0,124.0,214.0,90.0,Aaron,20080318,Adult,Other,Male
14,333,174.627147332,-0.680988866288,-0.818254136175,214.0,284.0,88.7217029365,11.9047619048,294.0,126.0,234.0,108.0,Aaron,20080318,Adult,Other,Male
15,266,140.032051897,-0.124876205608,-0.456412237692,128.0,124.0,64.2423340663,14.0,262.0,118.0,214.0,96.0,Aaron,20080318,Adult,Other,Male
16,245,165.755102041,-0.0975160669498,-0.873288809918,142.0,142.0,55.9796357332,24.0,246.0,122.0,228.0,106.0,Aaron,20080318,Adult,Other,Male
18,396,131.461279461,0.269165004142,-0.856366240612,128.0,14.0,91.9212529215,12.0,296.0,20.0,184.0,164.0,AbdulMoiz,20121010,Youth,British,Male
19,531,110.648572296,1.04569271103,13.8679298487,112.0,112.0,29.4572099095,12.0,260.0,108.0,116.0,8.0,Adminvox,05232006,Unknown,Other,Male
20,464,129.044886252,2.00871936788,2.82570363481,116.0,112.0,41.1047889853,18.8272210237,252.0,108.0,124.0,16.0,Adminvox,05262006,Unknown,Other,Male
21,25,152.16,0.555024734196,-1.65104785824,110.0,110.0,63.1592780199,94.0,236.0,110.0,236.0,126.0,AdrianMcNear,20091016,Adult,American,Male
22,736,250.067934783,-2.23052101158,4.15301108253,266.0,266.0,36.1891281127,120.0,286.0,252.0,266.0,14.0,Afshad,20090813,Adult,American,Male
23,542,115.188191882,0.373562638752,-0.166429452315,120.0,16.0,72.7173520716,12.0,290.0,46.0,140.0,94.0,Afzal,20110524,Adult,Indian,Male
24,786,113.541984733,1.08084953297,2.29496830946,108.0,114.0,55.1811625963,12.0,292.0,100.0,116.0,16.0,Airwings,20101216,Adult,Other,Male
25,368,107.117753623,0.393788846284,0.442049483975,108.0,14.0,61.7857303287,12.0,258.0,97.5,124.0,26.5,Airwings,20101216,Adult,Other,Male
